map,scenario_index,heuristic,path_length,nodes_visited,time_seconds,optimal_cost,optimality_ratio
ai_16room_002,1,manhattan,2,3,3e-05,2.82843,0.70711
ai_16room_002,1,euclidean,2,3,2e-05,2.82843,0.70711
ai_16room_002,1,diagonal,2,3,2e-05,2.82843,0.70711
ai_16room_002,1,hybrid,2,3,2e-05,2.82843,0.70711
ai_16room_002,2,manhattan,3,4,2e-05,3.0,1.0
ai_16room_002,2,euclidean,3,4,2e-05,3.0,1.0
ai_16room_002,2,diagonal,3,8,3e-05,3.0,1.0
ai_16room_002,2,hybrid,3,4,2e-05,3.0,1.0
ai_16room_002,3,manhattan,3,4,2e-05,3.82843,0.78361
ai_16room_002,3,euclidean,3,4,2e-05,3.82843,0.78361
ai_16room_002,3,diagonal,3,5,2e-05,3.82843,0.78361
ai_16room_002,3,hybrid,3,4,2e-05,3.82843,0.78361
ai_16room_002,4,manhattan,3,4,1e-05,3.41421,0.87868
ai_16room_002,4,euclidean,3,4,2e-05,3.41421,0.87868
ai_16room_002,4,diagonal,3,4,2e-05,3.41421,0.87868
ai_16room_002,4,hybrid,3,4,2e-05,3.41421,0.87868
ai_16room_002,5,manhattan,3,4,2e-05,3.0,1.0
ai_16room_002,5,euclidean,3,4,2e-05,3.0,1.0
ai_16room_002,5,diagonal,3,4,2e-05,3.0,1.0
ai_16room_002,5,hybrid,3,4,2e-05,3.0,1.0
ai_16room_002,6,manhattan,3,4,3e-05,3.0,1.0
ai_16room_002,6,euclidean,3,4,2e-05,3.0,1.0
ai_16room_002,6,diagonal,3,6,2e-05,3.0,1.0
ai_16room_002,6,hybrid,3,4,2e-05,3.0,1.0
ai_16room_002,7,manhattan,1,2,1e-05,1.0,1.0
ai_16room_002,7,euclidean,1,2,3e-05,1.0,1.0
ai_16room_002,7,diagonal,1,2,1e-05,1.0,1.0
ai_16room_002,7,hybrid,1,2,2e-05,1.0,1.0
ai_16room_002,8,manhattan,1,2,1e-05,1.0,1.0
ai_16room_002,8,euclidean,1,2,1e-05,1.0,1.0
ai_16room_002,8,diagonal,1,2,1e-05,1.0,1.0
ai_16room_002,8,hybrid,1,2,1e-05,1.0,1.0
ai_16room_002,9,manhattan,1,2,1e-05,1.0,1.0
ai_16room_002,9,euclidean,1,2,1e-05,1.0,1.0
ai_16room_002,9,diagonal,1,2,1e-05,1.0,1.0
ai_16room_002,9,hybrid,1,2,1e-05,1.0,1.0
ai_16room_002,10,manhattan,2,3,1e-05,2.41421,0.82843
ai_16room_002,10,euclidean,2,3,1e-05,2.41421,0.82843
ai_16room_002,10,diagonal,2,4,2e-05,2.41421,0.82843
ai_16room_002,10,hybrid,2,3,1e-05,2.41421,0.82843
ai_Map18,1,manhattan,1343,1344,0.008,3122.06878,0.43016
