map,scenario_index,heuristic,path_length,nodes_visited,time_seconds,optimal_cost,optimality_ratio
ai_16room_002_0,1,manhattan,1.4142135623730951,3,5e-05,2.82843,0.5
ai_16room_002_0,1,euclidean,1.4142135623730951,3,3e-05,2.82843,0.5
ai_16room_002_0,1,diagonal,1.4142135623730951,3,3e-05,2.82843,0.5
ai_16room_002_0,1,hybrid,1.4142135623730951,3,3e-05,2.82843,0.5
ai_16room_002_1,2,manhattan,2.0,4,3e-05,3.0,0.66667
ai_16room_002_1,2,euclidean,2.0,4,3e-05,3.0,0.66667
ai_16room_002_1,2,diagonal,2.0,4,3e-05,3.0,0.66667
ai_16room_002_1,2,hybrid,2.0,4,3e-05,3.0,0.66667
ai_16room_002_2,3,manhattan,2.414213562373095,4,3e-05,3.82843,0.6306
ai_16room_002_2,3,euclidean,2.414213562373095,4,3e-05,3.82843,0.6306
ai_16room_002_2,3,diagonal,2.8284271247461903,5,5e-05,3.82843,0.7388
ai_16room_002_2,3,hybrid,2.414213562373095,4,4e-05,3.82843,0.6306
ai_Map18_0,1,manhattan,1381.3502884254442,1344,0.01272,3122.06878,0.44245
ai_Map18_0,1,euclidean,1381.764501987817,185450,2.11892,3122.06878,0.44258
ai_Map18_0,1,diagonal,1381.764501987817,239222,2.59183,3122.06878,0.44258
ai_Map18_0,1,hybrid,1381.764501987817,119870,1.42038,3122.06878,0.44258
ai_Map18_1,2,manhattan,494.0681092190352,1748,0.02721,1006.00418,0.49112
ai_Map18_1,2,euclidean,494.0681092190352,47213,0.75333,1006.00418,0.49112
ai_Map18_1,2,diagonal,494.4823227814083,85521,1.16524,1006.00418,0.49153
ai_Map18_1,2,hybrid,494.0681092190352,4436,0.07441,1006.00418,0.49112
ai_Map18_2,3,manhattan,inf,1,1e-05,4473.29679,inf
ai_Map18_2,3,euclidean,inf,1,1e-05,4473.29679,inf
ai_Map18_2,3,diagonal,inf,1,1e-05,4473.29679,inf
ai_Map18_2,3,hybrid,inf,1,1e-05,4473.29679,inf
ai_Maze512-1-0_0,1,manhattan,1.0,3,2e-05,2.0,0.5
ai_Maze512-1-0_0,1,euclidean,1.0,3,2e-05,2.0,0.5
ai_Maze512-1-0_0,1,diagonal,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_0,1,hybrid,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_1,2,manhattan,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_1,2,euclidean,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_1,2,diagonal,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_1,2,hybrid,1.0,3,1e-05,2.0,0.5
ai_Maze512-1-0_2,3,manhattan,2.0,4,2e-05,3.0,0.66667
ai_Maze512-1-0_2,3,euclidean,2.0,4,2e-05,3.0,0.66667
ai_Maze512-1-0_2,3,diagonal,2.0,4,1e-05,3.0,0.66667
ai_Maze512-1-0_2,3,hybrid,2.0,4,2e-05,3.0,0.66667
ai_random512-10-0_0,1,manhattan,1.0,3,5e-05,2.41421,0.41421
ai_random512-10-0_0,1,euclidean,1.0,3,3e-05,2.41421,0.41421
ai_random512-10-0_0,1,diagonal,1.4142135623730951,3,2e-05,2.41421,0.58579
ai_random512-10-0_0,1,hybrid,1.0,3,3e-05,2.41421,0.41421
ai_random512-10-0_1,2,manhattan,inf,1,0.0,,
ai_random512-10-0_1,2,euclidean,inf,1,0.0,,
ai_random512-10-0_1,2,diagonal,inf,1,0.0,,
ai_random512-10-0_1,2,hybrid,inf,1,0.0,,
ai_random512-10-0_2,3,manhattan,2.0,4,3e-05,3.0,0.66667
ai_random512-10-0_2,3,euclidean,2.0,4,2e-05,3.0,0.66667
ai_random512-10-0_2,3,diagonal,2.0,5,3e-05,3.0,0.66667
ai_random512-10-0_2,3,hybrid,2.0,4,2e-05,3.0,0.66667
