case_id,heuristic,start,goal,expected_cost,actual_cost,path_length,visited_nodes,time_sec,cost_error
0,manhattan,"(293, 317)","(291, 319)",2.82843,2.82843,3,3,0.000052,0.00000
0,euclidean,"(293, 317)","(291, 319)",2.82843,2.82843,3,3,0.000020,0.00000
0,diagonal,"(293, 317)","(291, 319)",2.82843,2.82843,3,3,0.000021,0.00000
0,hybrid,"(293, 317)","(291, 319)",2.82843,2.82843,3,3,0.000019,0.00000
1,manhattan,"(146, 185)","(149, 185)",3.00000,3.00000,4,4,0.000019,0.00000
1,euclidean,"(146, 185)","(149, 185)",3.00000,3.00000,4,4,0.000028,0.00000
1,diagonal,"(146, 185)","(149, 185)",3.00000,3.00000,4,4,0.000024,0.00000
1,hybrid,"(146, 185)","(149, 185)",3.00000,3.00000,4,4,0.000019,0.00000
2,manhattan,"(23, 437)","(25, 434)",3.82843,3.82843,4,4,0.000019,0.00000
2,euclidean,"(23, 437)","(25, 434)",3.82843,3.82843,4,4,0.000018,0.00000
2,diagonal,"(23, 437)","(25, 434)",3.82843,3.82843,4,5,0.000024,0.00000
2,hybrid,"(23, 437)","(25, 434)",3.82843,3.82843,4,4,0.000023,0.00000
3,manhattan,"(249, 199)","(246, 198)",3.41421,3.41421,4,4,0.000018,0.00000
3,euclidean,"(249, 199)","(246, 198)",3.41421,3.41421,4,4,0.000017,0.00000
3,diagonal,"(249, 199)","(246, 198)",3.41421,3.41421,4,4,0.000016,0.00000
3,hybrid,"(249, 199)","(246, 198)",3.41421,3.41421,4,4,0.000020,0.00000
4,manhattan,"(237, 440)","(237, 437)",3.00000,3.00000,4,4,0.000017,0.00000
4,euclidean,"(237, 440)","(237, 437)",3.00000,3.00000,4,4,0.000016,0.00000
4,diagonal,"(237, 440)","(237, 437)",3.00000,3.00000,4,4,0.000017,0.00000
4,hybrid,"(237, 440)","(237, 437)",3.00000,3.00000,4,4,0.000019,0.00000
5,manhattan,"(79, 108)","(79, 111)",3.00000,3.00000,4,4,0.000014,0.00000
5,euclidean,"(79, 108)","(79, 111)",3.00000,3.00000,4,4,0.000013,0.00000
5,diagonal,"(79, 108)","(79, 111)",3.00000,3.00000,4,4,0.000013,0.00000
5,hybrid,"(79, 108)","(79, 111)",3.00000,3.00000,4,4,0.000016,0.00000
6,manhattan,"(495, 236)","(494, 236)",1.00000,1.00000,2,2,0.000006,0.00000
6,euclidean,"(495, 236)","(494, 236)",1.00000,1.00000,2,2,0.000006,0.00000
6,diagonal,"(495, 236)","(494, 236)",1.00000,1.00000,2,2,0.000005,0.00000
6,hybrid,"(495, 236)","(494, 236)",1.00000,1.00000,2,2,0.000007,0.00000
7,manhattan,"(200, 75)","(200, 76)",1.00000,1.00000,2,2,0.000008,0.00000
7,euclidean,"(200, 75)","(200, 76)",1.00000,1.00000,2,2,0.000007,0.00000
7,diagonal,"(200, 75)","(200, 76)",1.00000,1.00000,2,2,0.000007,0.00000
7,hybrid,"(200, 75)","(200, 76)",1.00000,1.00000,2,2,0.000009,0.00000
8,manhattan,"(100, 292)","(99, 292)",1.00000,1.00000,2,2,0.000008,0.00000
8,euclidean,"(100, 292)","(99, 292)",1.00000,1.00000,2,2,0.000007,0.00000
8,diagonal,"(100, 292)","(99, 292)",1.00000,1.00000,2,2,0.000007,0.00000
8,hybrid,"(100, 292)","(99, 292)",1.00000,1.00000,2,2,0.000009,0.00000
9,manhattan,"(333, 37)","(334, 39)",2.41421,2.41421,3,3,0.000013,0.00000
9,euclidean,"(333, 37)","(334, 39)",2.41421,2.41421,3,3,0.000012,0.00000
9,diagonal,"(333, 37)","(334, 39)",2.41421,2.41421,3,3,0.000012,0.00000
9,hybrid,"(333, 37)","(334, 39)",2.41421,2.41421,3,3,0.000016,0.00000
10,manhattan,"(433, 488)","(431, 485)",5.00000,5.00000,6,6,0.000022,0.00000
10,euclidean,"(433, 488)","(431, 485)",5.00000,5.00000,6,7,0.000027,0.00000
