case_id,heuristic,start,goal,expected_cost,actual_cost,path_length,visited_nodes,time_sec,cost_error
0,manhattan,"(793, 381)","(889, 1724)",3122.06878,2895.71104,1534,970814,8.041230,226.35774
0,euclidean,"(793, 381)","(889, 1724)",3122.06878,2895.71104,1534,1333820,11.732049,226.35774
0,diagonal,"(793, 381)","(889, 1724)",3122.06878,2895.71104,1534,1501279,13.855041,226.35774
0,hybrid,"(793, 381)","(889, 1724)",3122.06878,2895.71104,1534,1128354,10.484068,226.35774
1,manhattan,"(1183, 1669)","(1577, 1424)",1006.00418,980.09250,504,130771,1.031503,25.91169
1,euclidean,"(1183, 1669)","(1577, 1424)",1006.00418,980.09250,504,177200,1.212449,25.91169
1,diagonal,"(1183, 1669)","(1577, 1424)",1006.00418,980.09250,504,196725,1.403203,25.91169
1,hybrid,"(1183, 1669)","(1577, 1424)",1006.00418,980.09250,504,152962,1.130279,25.91169
2,manhattan,"(1314, 1395)","(118, 18)",4473.29679,0.00000,0,0,0.016769,4473.29679
2,euclidean,"(1314, 1395)","(118, 18)",4473.29679,0.00000,0,0,0.000004,4473.29679
2,diagonal,"(1314, 1395)","(118, 18)",4473.29679,0.00000,0,0,0.000000,4473.29679
2,hybrid,"(1314, 1395)","(118, 18)",4473.29679,0.00000,0,0,0.000000,4473.29679
3,manhattan,"(925, 241)","(353, 692)",1622.25153,1901.88600,720,383124,2.839612,279.63447
3,euclidean,"(925, 241)","(353, 692)",1622.25153,1901.88600,720,439715,3.197589,279.63447
3,diagonal,"(925, 241)","(353, 692)",1622.25153,1901.88600,720,452210,3.308739,279.63447
3,hybrid,"(925, 241)","(353, 692)",1622.25153,1901.88600,720,411927,3.183637,279.63447
4,manhattan,"(1950, 202)","(126, 1852)",4949.58863,6256.17186,2719,3003989,29.089332,1306.58323
4,euclidean,"(1950, 202)","(126, 1852)",4949.58863,6232.02380,2368,3160547,32.835996,1282.43517
4,diagonal,"(1950, 202)","(126, 1852)",4949.58863,6232.02380,2368,3177568,32.785722,1282.43517
4,hybrid,"(1950, 202)","(126, 1852)",4949.58863,6232.02380,2368,3081986,34.092706,1282.43517
5,manhattan,"(1082, 461)","(839, 1170)",1958.41295,2117.15555,1046,818167,7.860032,158.74260
5,euclidean,"(1082, 461)","(839, 1170)",1958.41295,2117.15555,1046,1000657,8.236336,158.74260
5,diagonal,"(1082, 461)","(839, 1170)",1958.41295,2117.15555,1046,1094600,9.360636,158.74260
5,hybrid,"(1082, 461)","(839, 1170)",1958.41295,2117.15555,1046,901896,8.871585,158.74260
