case_id,heuristic,start,goal,expected_cost,actual_cost,path_length,visited_nodes,time_sec,cost_error
0,manhattan,"(10, 174)","(9, 172)",2.41421,2.41421,3,3,0.000055,0.00000
0,euclidean,"(10, 174)","(9, 172)",2.41421,2.41421,3,3,0.000024,0.00000
0,diagonal,"(10, 174)","(9, 172)",2.41421,2.41421,3,3,0.000021,0.00000
0,hybrid,"(10, 174)","(9, 172)",2.41421,2.41421,3,3,0.000024,0.00000
1,manhattan,"(250, 220)","(250, 220)",,0.00000,1,1,0.000002,0.00000
1,euclidean,"(250, 220)","(250, 220)",,0.00000,1,1,0.000002,0.00000
1,diagonal,"(250, 220)","(250, 220)",,0.00000,1,1,0.000002,0.00000
1,hybrid,"(250, 220)","(250, 220)",,0.00000,1,1,0.000001,0.00000
2,manhattan,"(441, 151)","(442, 149)",3.00000,3.00000,4,4,0.000018,0.00000
2,euclidean,"(441, 151)","(442, 149)",3.00000,3.00000,4,4,0.000015,0.00000
2,diagonal,"(441, 151)","(442, 149)",3.00000,3.00000,4,5,0.000021,0.00000
2,hybrid,"(441, 151)","(442, 149)",3.00000,3.00000,4,4,0.000018,0.00000
3,manhattan,"(24, 218)","(22, 220)",2.82843,2.82843,3,3,0.000020,0.00000
3,euclidean,"(24, 218)","(22, 220)",2.82843,2.82843,3,3,0.000018,0.00000
3,diagonal,"(24, 218)","(22, 220)",2.82843,2.82843,3,3,0.000018,0.00000
3,hybrid,"(24, 218)","(22, 220)",2.82843,2.82843,3,3,0.000022,0.00000
4,manhattan,"(414, 90)","(414, 90)",,0.00000,1,1,0.000001,0.00000
4,euclidean,"(414, 90)","(414, 90)",,0.00000,1,1,0.000001,0.00000
4,diagonal,"(414, 90)","(414, 90)",,0.00000,1,1,0.000001,0.00000
4,hybrid,"(414, 90)","(414, 90)",,0.00000,1,1,0.000002,0.00000
5,manhattan,"(444, 431)","(441, 430)",3.41421,3.41421,4,4,0.000027,0.00000
5,euclidean,"(444, 431)","(441, 430)",3.41421,3.41421,4,4,0.000026,0.00000
5,diagonal,"(444, 431)","(441, 430)",3.41421,3.41421,4,4,0.000022,0.00000
5,hybrid,"(444, 431)","(441, 430)",3.41421,3.41421,4,4,0.000028,0.00000
6,manhattan,"(450, 1)","(450, 1)",,0.00000,1,1,0.000001,0.00000
6,euclidean,"(450, 1)","(450, 1)",,0.00000,1,1,0.000001,0.00000
6,diagonal,"(450, 1)","(450, 1)",,0.00000,1,1,0.000001,0.00000
6,hybrid,"(450, 1)","(450, 1)",,0.00000,1,1,0.000002,0.00000
7,manhattan,"(334, 399)","(331, 400)",3.41421,3.41421,4,4,0.000021,0.00000
