case_id,heuristic,start,goal,expected_cost,actual_cost,path_length,visited_nodes,time_sec,cost_error
0,manhattan,"(26, 19)","(29, 19)",3.00000,3.00000,4,4,0.000060,0.00000
0,euclidean,"(26, 19)","(29, 19)",3.00000,3.00000,4,4,0.000031,0.00000
0,diagonal,"(26, 19)","(29, 19)",3.00000,3.00000,4,4,0.000025,0.00000
0,hybrid,"(26, 19)","(29, 19)",3.00000,3.00000,4,4,0.000029,0.00000
1,manhattan,"(30, 44)","(28, 43)",2.41421,2.41421,3,3,0.000018,0.00000
1,euclidean,"(30, 44)","(28, 43)",2.41421,2.41421,3,3,0.000021,0.00000
1,diagonal,"(30, 44)","(28, 43)",2.41421,2.41421,3,3,0.000017,0.00000
1,hybrid,"(30, 44)","(28, 43)",2.41421,2.41421,3,3,0.000021,0.00000
2,manhattan,"(23, 31)","(23, 33)",2.00000,2.00000,3,3,0.000018,0.00000
2,euclidean,"(23, 31)","(23, 33)",2.00000,2.00000,3,3,0.000017,0.00000
2,diagonal,"(23, 31)","(23, 33)",2.00000,2.00000,3,3,0.000017,0.00000
2,hybrid,"(23, 31)","(23, 33)",2.00000,2.00000,3,3,0.000019,0.00000
3,manhattan,"(22, 30)","(21, 31)",1.41421,1.41421,2,2,0.000014,0.00000
3,euclidean,"(22, 30)","(21, 31)",1.41421,1.41421,2,2,0.000010,0.00000
3,diagonal,"(22, 30)","(21, 31)",1.41421,1.41421,2,2,0.000009,0.00000
3,hybrid,"(22, 30)","(21, 31)",1.41421,1.41421,2,2,0.000013,0.00000
4,manhattan,"(14, 40)","(16, 43)",3.82843,3.82843,4,4,0.000026,0.00000
4,euclidean,"(14, 40)","(16, 43)",3.82843,3.82843,4,4,0.000024,0.00000
4,diagonal,"(14, 40)","(16, 43)",3.82843,3.82843,4,5,0.000043,0.00000
4,hybrid,"(14, 40)","(16, 43)",3.82843,3.82843,4,4,0.000031,0.00000
5,manhattan,"(1, 11)","(1, 13)",2.00000,2.00000,3,3,0.000012,0.00000
5,euclidean,"(1, 11)","(1, 13)",2.00000,2.00000,3,3,0.000012,0.00000
5,diagonal,"(1, 11)","(1, 13)",2.00000,2.00000,3,3,0.000012,0.00000
5,hybrid,"(1, 11)","(1, 13)",2.00000,2.00000,3,3,0.000014,0.00000
6,manhattan,"(40, 9)","(41, 7)",2.41421,2.41421,3,3,0.000017,0.00000
6,euclidean,"(40, 9)","(41, 7)",2.41421,2.41421,3,3,0.000017,0.00000
6,diagonal,"(40, 9)","(41, 7)",2.41421,2.41421,3,3,0.000017,0.00000
6,hybrid,"(40, 9)","(41, 7)",2.41421,2.41421,3,3,0.000021,0.00000
7,manhattan,"(6, 12)","(4, 15)",3.82843,3.82843,4,4,0.000025,0.00000
7,euclidean,"(6, 12)","(4, 15)",3.82843,3.82843,4,4,0.000023,0.00000
7,diagonal,"(6, 12)","(4, 15)",3.82843,3.82843,4,5,0.000030,0.00000
7,hybrid,"(6, 12)","(4, 15)",3.82843,3.82843,4,4,0.000034,0.00000
8,manhattan,"(30, 47)","(28, 44)",3.82843,3.82843,4,4,0.000213,0.00000
8,euclidean,"(30, 47)","(28, 44)",3.82843,3.82843,4,4,0.000145,0.00000
8,diagonal,"(30, 47)","(28, 44)",3.82843,3.82843,4,5,0.000046,0.00000
8,hybrid,"(30, 47)","(28, 44)",3.82843,3.82843,4,4,0.000031,0.00000
9,manhattan,"(46, 45)","(43, 44)",3.41421,3.41421,4,4,0.000024,0.00000
9,euclidean,"(46, 45)","(43, 44)",3.41421,3.41421,4,4,0.000024,0.00000
9,diagonal,"(46, 45)","(43, 44)",3.41421,3.41421,4,4,0.000023,0.00000
9,hybrid,"(46, 45)","(43, 44)",3.41421,3.41421,4,4,0.000029,0.00000
10,manhattan,"(18, 20)","(16, 25)",5.82843,5.82843,6,6,0.000041,0.00000
10,euclidean,"(18, 20)","(16, 25)",5.82843,5.82843,6,8,0.000052,0.00000
10,diagonal,"(18, 20)","(16, 25)",5.82843,5.82843,6,11,0.000069,0.00000
10,hybrid,"(18, 20)","(16, 25)",5.82843,5.82843,6,6,0.000046,0.00000
11,manhattan,"(28, 25)","(30, 21)",4.82843,4.82843,5,5,0.000032,0.00000
11,euclidean,"(28, 25)","(30, 21)",4.82843,4.82843,5,6,0.000037,0.00000
11,diagonal,"(28, 25)","(30, 21)",4.82843,4.82843,5,8,0.000050,0.00000
11,hybrid,"(28, 25)","(30, 21)",4.82843,4.82843,5,5,0.000037,0.00000
12,manhattan,"(9, 11)","(3, 15)",7.65685,7.65685,7,7,0.000046,0.00000
12,euclidean,"(9, 11)","(3, 15)",7.65685,7.65685,7,10,0.000070,0.00000
12,diagonal,"(9, 11)","(3, 15)",7.65685,7.65685,7,20,0.000132,0.00000
12,hybrid,"(9, 11)","(3, 15)",7.65685,7.65685,7,7,0.000054,0.00000
13,manhattan,"(36, 18)","(40, 22)",5.65685,5.65685,5,5,0.000034,0.00000
13,euclidean,"(36, 18)","(40, 22)",5.65685,5.65685,5,5,0.000033,0.00000
13,diagonal,"(36, 18)","(40, 22)",5.65685,5.65685,5,9,0.000057,0.00000
13,hybrid,"(36, 18)","(40, 22)",5.65685,5.65685,5,5,0.000041,0.00000
14,manhattan,"(42, 28)","(41, 24)",4.41421,4.41421,5,5,0.000032,0.00000
14,euclidean,"(42, 28)","(41, 24)",4.41421,4.41421,5,5,0.000029,0.00000
14,diagonal,"(42, 28)","(41, 24)",4.41421,4.41421,5,5,0.000029,0.00000
14,hybrid,"(42, 28)","(41, 24)",4.41421,4.41421,5,5,0.000035,0.00000
15,manhattan,"(14, 41)","(16, 45)",4.82843,4.82843,5,5,0.000031,0.00000
15,euclidean,"(14, 41)","(16, 45)",4.82843,4.82843,5,6,0.000036,0.00000
15,diagonal,"(14, 41)","(16, 45)",4.82843,4.82843,5,8,0.000049,0.00000
15,hybrid,"(14, 41)","(16, 45)",4.82843,4.82843,5,5,0.000038,0.00000
16,manhattan,"(39, 25)","(43, 27)",4.82843,4.82843,5,5,0.000030,0.00000
16,euclidean,"(39, 25)","(43, 27)",4.82843,4.82843,5,6,0.000036,0.00000
16,diagonal,"(39, 25)","(43, 27)",4.82843,4.82843,5,8,0.000048,0.00000
16,hybrid,"(39, 25)","(43, 27)",4.82843,4.82843,5,5,0.000037,0.00000
17,manhattan,"(12, 31)","(9, 26)",6.24264,6.24264,6,6,0.000039,0.00000
17,euclidean,"(12, 31)","(9, 26)",6.24264,6.24264,6,8,0.000048,0.00000
17,diagonal,"(12, 31)","(9, 26)",6.24264,6.24264,6,14,0.000084,0.00000
17,hybrid,"(12, 31)","(9, 26)",6.24264,6.24264,6,6,0.000045,0.00000
18,manhattan,"(24, 8)","(25, 12)",4.41421,4.41421,5,5,0.000030,0.00000
18,euclidean,"(24, 8)","(25, 12)",4.41421,4.41421,5,5,0.000030,0.00000
